,well,row,column,image,cell_line,siRNA,1NM_conc,time,MI,cell_count
0,E0,4,0,401001,U2OScdk1as,siB55gamma,0.0,50,51.68,149
0,E0,4,0,401001,U2OScdk1as,siB55gamma,0.0,60,54.36,149
0,E0,4,0,401001,U2OScdk1as,siB55gamma,0.0,70,56.16,146
0,E0,4,0,401001,U2OScdk1as,siB55gamma,0.0,80,58.87,141
0,E0,4,0,401001,U2OScdk1as,siB55gamma,0.0,90,54.29,140
0,E0,4,0,401001,U2OScdk1as,siB55gamma,0.0,100,56.55,145
0,E0,4,0,401001,U2OScdk1as,siB55gamma,0.0,110,56.52,138
0,E0,4,0,401001,U2OScdk1as,siB55gamma,0.0,120,57.14,140
0,E0,4,0,401001,U2OScdk1as,siB55gamma,0.0,130,55.94,143
0,E0,4,0,401001,U2OScdk1as,siB55gamma,0.0,140,55.07,138
0,E0,4,0,401001,U2OScdk1as,siB55gamma,0.0,150,57.24,145
0,E0,4,0,401001,U2OScdk1as,siB55gamma,0.0,160,54.29,140
0,E0,4,0,401001,U2OScdk1as,siB55gamma,0.0,170,55.1,147
0,E0,4,0,401001,U2OScdk1as,siB55gamma,0.0,180,56.16,146
0,E0,4,0,401001,U2OScdk1as,siB55gamma,0.0,190,54.42,147
0,E0,4,0,401001,U2OScdk1as,siB55gamma,0.0,200,54.55,143
0,E0,4,0,401001,U2OScdk1as,siB55gamma,0.0,210,56.94,144
0,E0,4,0,401001,U2OScdk1as,siB55gamma,0.0,220,54.42,147
0,E0,4,0,401001,U2OScdk1as,siB55gamma,0.0,230,53.69,149
0,B1,1,1,400996,U2OScdk1as,siCtr,0.125,0,2.83,495
0,B1,1,1,400996,U2OScdk1as,siCtr,0.125,10,2.95,509
0,B1,1,1,400996,U2OScdk1as,siCtr,0.125,20,2.95,508
0,B1,1,1,400996,U2OScdk1as,siCtr,0.125,30,3.91,512
0,B1,1,1,400996,U2OScdk1as,siCtr,0.125,40,23.18,509
